"Rescue ID","Name","Birthdate","Sex","Primary Breed","Color (General)","Status","Created","Euthanasia Date","Adopted Date"
"F06-020","Bleu","4/20/2006","Male","Siamese","Gray and White","Adopted","9/30/2013 1:03 PM","",""
"F06-185","Sammy","10/16/2006","Male","Domestic Short Hair","Black and White","Euthanized","12/14/2009 11:47 AM","8/7/2015",""
"F06-206","Jerry","3/6/2006","Male","Domestic Short Hair","Orange","Pending","6/3/2017 12:25 AM","",""
"F06-229","Bella","7/1/2006","Female","Domestic Short Hair","White (Mostly)","Adopted","8/26/2013 4:48 PM","","10/23/2013"
"F06-235","Ice Dream","5/1/2005","Female","Domestic Short Hair","Brown Tabby","Adopted","12/14/2009 11:41 AM","","12/11/2016"
"F06-291","Cracker Jack","","Male","Domestic Short Hair","Black","Adopted","12/14/2009 11:38 AM","",""
"F07-114","Nala","10/8/2005","Female","Domestic Short Hair","Gray  Blue or Silver Tabby","Adopted","12/14/2009 11:45 AM","","4/7/2015"
"F07-116","Chico","10/8/2005","Male","Siamese","Ivory (Mostly)","Adopted","10/21/2010 5:36 PM","","4/7/2015"
"F07-119","Autumn II","4/14/2004","Female","Domestic Short Hair","Tortoiseshell","Adopted","12/14/2009 11:35 AM","","4/7/2015"
"F07-139","Mamacita","3/17/2005","Female","Domestic Short Hair","Gray","Adopted","12/14/2009 11:44 AM","",""
"F07-159","Momma Onyx","","Female","Domestic Short Hair","Black","Adopted","12/14/2009 11:45 AM","",""
"F07-183","Thor","1/20/2005","Male","Maine Coon","Black (Mostly)","Euthanized","12/14/2017 9:45 PM","6/1/2019",""
"F07-191","Callie Mae","3/28/2007","Female","Domestic Short Hair","Tuxedo","Adopted","12/14/2009 11:37 AM","",""
"F07-192","Izzy","","Female","Domestic Medium Hair","Gray  Blue or Silver Tabby","Adopted","12/14/2009 11:42 AM","",""
"F07-218","Devon","3/27/2007","Male","Domestic Short Hair","Black","Adopted","12/14/2009 11:39 AM","","7/17/2014"
"F07-233","Gemini (aka Mao)","","Female","Domestic Short Hair","Black and White","Adopted","8/12/2013 2:50 PM","",""
"F07-247","Moxie","5/25/2007","Female","Domestic Short Hair","Brown Tabby","Adopted","8/12/2013 3:12 PM","","11/19/2013"
"F07-253","Birch","4/12/2007","Male","Domestic Short Hair","Tuxedo","Adopted","12/14/2009 11:36 AM","","1/31/2015"
"F07-256","Macaroon","4/15/2005","Male","Domestic Short Hair","Orange","Adopted","12/14/2009 11:44 AM","","11/19/2014"
"F07-265","Dusti","4/1/2007","Female","Domestic Short Hair","Black and White","Adopted","12/10/2013 2:18 PM","","7/11/2014"
"F07-283","Shelley","4/29/2004","Female","Domestic Medium Hair","Tortoiseshell","Adopted","12/14/2009 11:47 AM","","11/1/2014"
"F07-290","Whimsey","4/15/2005","Female","Domestic Short Hair","Orange","Adopted","12/21/2009 7:36 PM","","9/1/2014"
"F07-353","Bramble Paw","5/20/2007","Male","Domestic Short Hair","Gray  Blue or Silver Tabby","Euthanized","12/14/2009 11:36 AM","",""
"F07-354","Birch Paw","5/20/2007","Male","Domestic Short Hair","Gray  Blue or Silver Tabby","Euthanized","12/14/2009 11:36 AM","",""
"F07-359","Fiddlesticks","1/4/2007","Male","Domestic Short Hair","Gray","Adopted","11/6/2015 9:18 AM","","11/9/2015"
"F07-385","Tigger Baby","6/21/2007","Male","Domestic Short Hair","Gray  Blue or Silver Tabby","Adopted","12/14/2009 11:48 AM","","1/31/2015"
"F07-398","Shoshanna","10/20/2006","Female","Domestic Short Hair","Brown Tabby","Adopted","11/15/2016 1:02 PM","","11/16/2019"
"F07-465","Murphy","12/20/2006","Male","Domestic Medium Hair","Gray and White","Adopted","4/7/2013 5:08 PM","","5/14/2013"
"F07-484","Spicoli","","Male","Domestic Short Hair","Black","Adopted","1/4/2010 4:43 PM","",""
"F07-493","Kismet","4/15/2006","Female","Domestic Short Hair","Gray","Euthanized","12/14/2009 11:43 AM","1/8/2015",""
"F08-050","Clay","7/7/2007","Male","Domestic Short Hair","Fawn Tabby","Passed Away","2/17/2015 10:06 AM","",""
"F08-078","Sydney II","","Female","Domestic Short Hair","Brown Tabby","Adopted","1/4/2010 4:12 PM","",""
