Country,URLs,Top Words
Argentina,"['https://www.semafor.com/article/07/19/2024/argentinas-economy-is-growing-beyond-expectations', 'https://money.com/how-bad-is-inflation-under-joe-biden/', 'https://www.forbes.com/sites/javierpaz/2024/07/08/why-inflation-battered-argentinians-are-turning-to-crypto/', 'https://www.forbes.com/sites/afontevecchia/2024/08/02/argentina-faces-serious-medium-term-default-risks-given-ypf-nationalization-case-in-new-york/', 'https://finance.yahoo.com/news/argentina-inflation-snaps-milei-five-190930040.html', 'https://finance.yahoo.com/news/argentina-halts-monetary-expansion-lower-151211295.html', 'https://removed.com', 'https://finance.yahoo.com/news/argentina-inflation-seen-speeding-june-150406651.html', 'https://finance.yahoo.com/news/buyers-wary-argentinas-zombie-mortgage-100537573.html', 'https://www.forbes.com/sites/afontevecchia/2024/08/03/treason-and-betrayal-in-javier-mileis-anarcho-capitalist-dystopia/']","['soon', 'come', 'mortgag', 'inflat', 'price', 'crypto', 'argentinaâ', 'trump', 'econom', 'parallel']"
Australia,"['https://gizmodo.com/costco-raising-membership-fees-for-first-time-since-2017-2000469465', 'https://www.forbes.com/sites/katharinabuchholz/2024/08/02/half-of-oecd-countries-earn-less-now-than-pre-pandemic-infographic/', 'https://economictimes.indiatimes.com/markets/stocks/news/asian-stocks-echo-us-rally-ahead-of-inflation-data-markets-wrap/articleshow/111647314.cms', 'https://www.forbes.com/sites/johnbremen/2024/07/09/tracking-2024-mid-year-geopolitical-labor-inflation-ai--esg-trends/', 'https://www.forbes.com/sites/nikkibaird/2024/07/29/shopper-mixed-signals-retail-theft-and-department-store-futures/', 'https://finance.yahoo.com/news/asian-stocks-set-track-wall-223505627.html', 'https://www.forbes.com/sites/rachelking/2024/07/11/consumers-opting-for-cheaper-drinks-amid-inflation-woes-and-health-concerns/', 'https://www.abc.net.au/news/2024-07-31/a-likely-rate-rise-reprieve-but-government-not-out-of-the-woods/104165490', 'https://finance.yahoo.com/news/stocks-rally-fed-cut-hopes-224030783.html', 'https://finance.yahoo.com/news/australian-treasurer-says-government-deliver-034610145.html']","['wage', 'drink', 'depart', 'membership', 'prime', 'store', 'cent', 'inflat', 'leader', 'costco']"
Austria,"['https://money.com/how-bad-is-inflation-under-joe-biden/', 'https://www.forbes.com/sites/johnbremen/2024/07/09/tracking-2024-mid-year-geopolitical-labor-inflation-ai--esg-trends/', 'https://finance.yahoo.com/news/july-2024-insight-german-exchanges-030349841.html', 'https://removed.com', 'https://www.shtfplan.com/headline-news/war-and-inflation', 'https://www.ecb.europa.eu/press/pr/date/2024/html/ecb.pr240726~2da9ec7bdf.en.html', 'https://www.forbes.com/sites/shainshapiro/2024/07/10/why-isnt-taylor-swift-making-cities-take-music-more-seriously/', 'https://www.startribune.com/czech-brewer-budvars-net-profit-up-463-in-2023-as-it-recovers-from-loss-of-the-russian-market/600380213/', 'https://finance.yahoo.com/news/unpacking-q1-earnings-akamai-nasdaq-075700455.html', 'https://finance.yahoo.com/news/hypoport-two-more-german-exchange-113356166.html']","['soon', 'music', 'come', 'inflat', 'page', 'startribun', 'sorri', 'expect', 'leader', 'month']"
Belgium,"['https://qz.com/national-french-fry-day-deal-mcdonalds-wendys-retail-1851588693', 'https://www.forbes.com/sites/johnbremen/2024/07/09/tracking-2024-mid-year-geopolitical-labor-inflation-ai--esg-trends/', 'https://finance.yahoo.com/news/morning-bid-powell-stirs-rate-100158001.html', 'https://finance.yahoo.com/news/july-2024-insight-german-exchanges-030349841.html', 'https://finance.yahoo.com/news/morning-bid-oil-slips-equities-043557578.html', 'https://www.project-syndicate.org/commentary/greece-six-day-week-result-of-low-birth-rates-aging-population-by-pinelopi-koujianou-goldberg-2024-07', 'https://www.aljazeera.com/news/2024/7/14/will-paul-kagame-win-a-landslide-in-rwanda-election-heres-what-to-know', 'https://www.ecb.europa.eu/press/pr/date/2024/html/ecb.pr240726~2da9ec7bdf.en.html', 'https://finance.yahoo.com/news/france-economic-growth-beats-forecasts-053000513.html', 'https://www.forbes.com/sites/wesmoss/2024/07/30/mistakes-investors-might-make-when-following-the-herd/']","['fri', 'email', 'expect', 'invest', '12', 'leader', 'kagam', 'percent', 'rwanda', 'xtra']"
Bolivia,"['https://www.bbc.com/news/articles/c25lpxzw9wlo', 'https://www.bbc.com/news/articles/c25lpxzw9wlo?xtor=AL-72-%5Bpartner%5D-%5Byahoo.north.america%5D-%5Bheadline%5D-%5Bnews%5D-%5Bbizdev%5D-%5Bisapi%5D', 'https://www.forbes.com/sites/afontevecchia/2024/08/01/culture-wars-are-the-breeding-ground-for-attempted-political-assassinations-from-cristina-kirchner-to-donld-trump/', 'https://www.cnbc.com/2024/07/05/5-things-to-know-before-the-stock-market-opens-friday-july-5.html', 'https://www.voanews.com/a/venezuelan-opposition-says-it-has-proof-its-candidate-defeated-maduro-in-sunday-s-election/7718200.html', 'https://www.blogger.com/comment.g?blogID=8152901575140311047&postID=5249574565269784151&bpli=1', 'https://dnyuz.com/2024/07/05/political-unrest-worldwide-is-fueled-by-high-prices-and-huge-debts/', 'https://www.nakedcapitalism.com/2024/07/200pm-water-cooler-7-12-2024.html', 'https://www.investing.com/news/commodities-news/venezuelas-rice-corn-production-rise-as-buyers-loan-farmers-supplies-3522539', 'https://www.cnbc.com/2024/07/26/our-family-took-a-gap-year-in-latin-america-for-56k.html']","['best', 'biden', 'damodaran', 'aswath', 'credit', 'jul', '24', 'pm', '28', 'crop']"
Burkina Faso,"['https://removed.com', 'https://www.project-syndicate.org/commentary/nigeria-south-africa-weakened-by-political-economic-turmoil-by-adekeye-adebajo-2024-07', 'https://www.dw.com/en/how-a-heat-wave-causes-inflation-in-ivory-coast/a-69695640', 'http://www.newgeography.com/content/008235-african-deep-tech-centres', 'https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0307071', 'https://www.globenewswire.com/news-release/2024/07/09/2910124/0/en/Fortuna-reports-solid-production-of-116-570-gold-equivalent-ounces-for-the-second-quarter-of-2024.html', 'https://removed.com', 'https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0306770', 'https://www.investing.com/news/stock-market-news/earnings-call-centamin-maintains-strong-2024-h1-results-eyes-future-growth-93CH-3539764', 'https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0306646']","['soon', 'email', 'hiv', 'come', 'imf', 'meal', 'frequenc', 'tech', 'technolog', 'mine']"
Burundi,"['https://finance.yahoo.com/news/poorest-country-gdp-per-capita-195058983.html', 'https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0307071', 'https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0305778', 'https://mondoweiss.net/2024/08/african-attitudes-to-and-solidarity-with-palestine-from-the-1940s-to-israels-genocide-in-gaza/', 'https://removed.com', 'https://www.investing.com/news/stock-market-news/earnings-call-heineken-announced-a-notable-6-organic-net-revenue-growth-in-1h-93CH-3547436', 'https://www.thestar.com.my/news/world/2024/07/05/greater-horn-of-africa-needs-98-bln-usd-for-humanitarian-assistance-un', 'https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0305698', 'https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0306770']","['soon', 'come', 'pbf', 'israel', 'hiv', 'imf', 'abus', 'children', 'dollar', 'poverti']"
Cameroon,"['https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0307071', 'https://www.globalresearch.ca/imperialism-inflicting-hunger-hardship-africa/5864255', 'http://www.newgeography.com/content/008235-african-deep-tech-centres', 'https://mondoweiss.net/2024/08/african-attitudes-to-and-solidarity-with-palestine-from-the-1940s-to-israels-genocide-in-gaza/', 'https://www.globenewswire.com/news-release/2024/07/24/2918240/0/en/Fnac-Darty-2024-Half-Year-Results.html', 'https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0305698', 'https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0306770']","['hiv', 'israel', 'pbf', 'imf', 'food', 'health', 'tech', 'test', 'technolog', 'fnac']"
Canada,"['https://gizmodo.com/costco-raising-membership-fees-for-first-time-since-2017-2000469465', 'https://www.aljazeera.com/economy/2024/7/24/bank-of-canada-cuts-interest-rates-once-more-trims-growth-prospects', 'https://www.npr.org/2024/07/11/g-s1-9393/up-first-newsletter-trump-project-2025-shrinkflation', 'https://biztoc.com/x/7fd7095d60a11f4a', 'https://money.com/how-bad-is-inflation-under-joe-biden/', 'https://qz.com/costco-raising-membership-fees-1851586814', 'https://biztoc.com/x/f1d4d0802ebc8c1c', 'https://www.businessinsider.com/what-is-universal-basic-income-ubi-meaning-history-benefits-criticism-2024-7', 'https://www.cbc.ca/news/business/walmart-canada-hourly-wages-1.7276229', 'https://www.bbc.com/news/articles/c2501n5rvvno']","['percent', 'membership', 'inflat', 'store', 'bank', 'ms', 'price', 'olymp', 'cbc', 'costco']"
Colombia,"['https://biztoc.com/x/09b295058335e90b', 'https://www.forbes.com/sites/kylemullins/2024/07/14/the-secret-service-has-access-to-more-money-than-ever/', 'https://finance.yahoo.com/news/colombia-central-bank-technical-team-224550606.html', 'https://www.forbes.com/sites/katharinabuchholz/2024/08/02/half-of-oecd-countries-earn-less-now-than-pre-pandemic-infographic/', 'https://finance.yahoo.com/news/brazil-central-bank-holds-interest-220333068.html', 'https://www.vox.com/world-politics/363558/venezuela-maduro-elections-south-america-machado-gonzalez-chavez-oil', 'https://finance.yahoo.com/news/colombian-inflation-accelerates-first-time-232240786.html', 'https://finance.yahoo.com/news/fed-powell-testifies-inflation-hiring-200035923.html', 'https://www.project-syndicate.org/commentary/technocratic-institutions-can-overcome-political-short-termism-in-latin-america-and-caribbean-by-eric-parrado-2024-07', 'https://finance.yahoo.com/news/charting-global-economy-top-central-090000950.html']","['email', 'maduro', 'wage', 'secret', 'quarterli', 'team', 'technic', 'servic', 'revis', 'countri']"
