Country,region,1970/3,1970/6,1970/9,1970/12,1971/3,1971/6,1971/9,1971/12,1972/3,1972/6,1972/9,1972/12,1973/3,1973/6,1973/9,1973/12,1974/3,1974/6,1974/9,1974/12,1975/3,1975/6,1975/9,1975/12,1976/3,1976/6,1976/9,1976/12,1977/3,1977/6,1977/9,1977/12,1978/3,1978/6,1978/9,1978/12,1979/3,1979/6,1979/9,1979/12,1980/3,1980/6,1980/9,1980/12,1981/3,1981/6,1981/9,1981/12,1982/3,1982/6,1982/9,1982/12,1983/3,1983/6,1983/9,1983/12,1984/3,1984/6,1984/9,1984/12,1985/3,1985/6,1985/9,1985/12,1986/3,1986/6,1986/9,1986/12,1987/3,1987/6,1987/9,1987/12,1988/3,1988/6,1988/9,1988/12,1989/3,1989/6,1989/9,1989/12,1990/3,1990/6,1990/9,1990/12,1991/3,1991/6,1991/9,1991/12,1992/3,1992/6,1992/9,1992/12,1993/3,1993/6,1993/9,1993/12,1994/3,1994/6,1994/9,1994/12,1995/3,1995/6,1995/9,1995/12,1996/3,1996/6,1996/9,1996/12,1997/3,1997/6,1997/9,1997/12,1998/3,1998/6,1998/9,1998/12,1999/3,1999/6,1999/9,1999/12,2000/3,2000/6,2000/9,2000/12,2001/3,2001/6,2001/9,2001/12,2002/3,2002/6,2002/9,2002/12,2003/3,2003/6,2003/9,2003/12,2004/3,2004/6,2004/9,2004/12,2005/3,2005/6,2005/9,2005/12,2006/3,2006/6,2006/9,2006/12,2007/3,2007/6,2007/9,2007/12,2008/3,2008/6,2008/9,2008/12,2009/3,2009/6,2009/9,2009/12,2010/3,2010/6,2010/9,2010/12,2011/3,2011/6,2011/9,2011/12,2012/3,2012/6,2012/9,2012/12,2013/3,2013/6,2013/9,2013/12,2014/3,2014/6,2014/9,2014/12,2015/3,2015/6,2015/9,2015/12,2016/3,2016/6,2016/9,2016/12,2017/3,2017/6,2017/9,2017/12,2018/3,2018/6,2018/9,2018/12,2019/3,2019/6,2019/9,2019/12,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12
Albania,Southern Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.98,4.6,5.28,6.59,9.63,12.58,19.07,25.42,28.57,29.02,31.98,33.82,35.1,39.3,38.11,38.72,40.67,41.36,39.8,41.18,43.25,44.78,46.95,48.78,53.96,60.31,62.48,67.99,73.09,74.76,72.9,74.51,75.88,74.69,72.33,73.51,74.68,74.35,72.07,75.45,76.31,76.69,75.26,77.51,81.85,80.51,79.08,80.66,82.87,83.35,81.97,82.95,85.67,84.93,83.39,84.7,87.58,86.66,85.4,87.06,88.81,88.94,87.86,89.3,91.31,90.55,90.95,92.51,94.68,94.32,93.64,94.8,96.49,96.33,95.65,97.54,100.3,99.99,98.96,100.75,104.67,103.64,102.11,103.3,105.78,105.61,104.9,105.84,108.44,107.95,106.48,107.43,110.52,109.65,108.34,108.79,112.62,111.66,110.3,111.01,113.34,112.47,112.39,113.07,116.05,114.77,114.33,115.09,118.28,117.28,116.84,117.17,120.14,118.92,118.48,118.66,122.06,121.23,120.13,120.5,123.19,123.39,122.99,124.22,128.67,131.71,132.64,133.98,137.05,137.79,,
Algeria,Northern Africa,,,,,,,,,,,,,,,,,3.24,3.26,3.28,3.26,3.41,3.48,3.58,3.65,3.79,3.77,3.86,4.04,4.25,4.14,4.35,4.56,,,,,5.52,5.55,5.9,5.68,5.99,5.96,6.31,6.54,7.16,7.04,7.08,7.15,7.42,7.39,8.04,7.45,8.25,7.98,7.71,8.16,8.58,8.65,8.51,8.98,9.48,9.47,9.36,10.03,10.68,10.6,10.43,11.38,11.76,11.53,11.12,11.9,12.24,12.04,12.13,12.63,13.18,13.17,13.28,13.98,14.44,15.36,15.45,17.28,18.26,19.01,19.52,21.93,23.14,25.31,26.9,28.3,29.6,30.94,31.36,33.04,35.89,38.78,41.43,45.12,49.29,51.27,53.32,55.35,59.56,62.38,62.38,64,65.64,64.81,65.1,66.99,68.92,68.22,68.26,70.15,71.24,70.6,69.91,71.08,72.75,70.43,69.54,71.09,72.61,73.71,73.46,76.01,76.71,74.35,73.59,75.35,75.69,76.5,76.51,79.02,79.93,79.41,78.57,80.8,82.5,82.34,81.03,81.44,82.68,83.76,83.57,84.86,85.09,85.5,87.63,88.97,89.41,90.37,91.1,93.19,94.54,94.67,97.04,98.69,98.62,99.33,100.4,101.64,102.07,103.34,105.78,106.91,111.27,113.2,114.27,116.53,117.77,117.35,117.69,117.28,118.6,119.37,121.6,124.23,124.82,125.8,127.39,128.94,130.87,134.86,136.27,137.38,140.74,141.85,142.11,144.83,145.57,149.18,148.87,150.23,149.54,151.09,151.92,152.9,152.47,154.93,154.59,158.07,160.29,164.52,167.8,172.27,175.01,181.16,183.38,186.93,192.09,198.77,200.86,202.48
Angola,Sub-Saharan Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0.04,0.05,0.08,0.09,0.09,0.12,0.14,0.16,0.22,0.27,0.37,0.47,0.72,1.18,1.62,2.39,3.31,4.32,5.33,6.95,7.91,9.2,11.67,13.67,16.54,19.51,24.07,28.9,32.99,35.73,39.26,42.67,45.19,47.57,50.54,52.9,54.7,56.65,58.5,59.92,61.44,63.49,65.7,67.33,69.05,71.09,73.45,75.45,77.85,80.5,83.36,85.93,88.61,91.53,94.83,97.77,101.44,105.96,109.04,112.03,114.86,118,121.37,123.79,126.17,129.25,132.31,135.11,137.5,139.6,142.29,144.6,147.23,150.04,153.04,156.62,161.74,167.43,181.07,199.04,220.37,234.42,250.13,263.9,277.36,292.69,304.36,316.3,329.86,346.36,358.88,370.52,385.71,403.28,426.26,451.14,475.93,503.23,531.45,564.06,600.28,638.91,676.61,701.52,718.89,736.27,755.24,777.43,816.41,870.78
Argentina,Latin America and the Caribbean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.02,0.03,0.03,0.11,0.74,1.08,4.69,9.79,14.28,18.67,25.92,32.36,34.69,35.89,37.99,39.57,41.1,42.28,43.1,44.36,45.03,45.55,45.62,45.94,46.71,47.21,47.83,47.87,47.96,48.07,48.02,47.77,48.02,48.21,48.37,48.12,48.33,48.23,48.65,48.68,48.88,48.62,48.63,48.15,48.01,47.77,48.02,47.64,47.63,47.46,47.34,47.59,47.09,46.69,49.33,58.66,64.04,65.51,66.95,67.18,67.38,67.96,68.58,69.93,71,71.86,74.18,76.08,77.99,80.25,82.75,84.74,86.25,88.37,90.59,92.21,93.68,95.85,98.28,100.59,102.06,103.36,104.78,106.13,108.05,110.7,114.22,117.39,120.95,122.93,126.77,128.76,131.81,134.65,138.01,141.47,144.94,148.89,152.96,156.22,160.23,164.78,44.18,48.47,51.88,54.99,57.82,61.29,64.69,68.68,76.63,88.29,93.53,98.54,103.81,110.45,115.58,121.71,130.05,140.38,156.55,179.35,197.44,219.39,241.27,272.91,297.02,315.67,337.3,372.19,417.74,468.66,512.33,563.49,638.17,754.37,910.07,1080.86,1288.95,1606.81,2055.76,2948.51
Aruba,Latin America and the Caribbean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.61,41.71,42.03,42.29,43,43.34,43.61,43.79,44.26,44.44,44.96,45.51,45.92,46.42,46.71,47.26,48.15,48.79,49.5,50.76,51.29,51.78,52.34,52.74,53.13,53.83,54.27,54.99,55.63,56.13,57.33,58.39,59.32,60.17,60.99,61.37,61.73,62.21,62.76,63.28,63.75,64.34,64.77,65.18,66.2,66.21,66.4,66.96,67.41,67.5,67.75,68.09,68.35,68.77,69.44,70.36,71.02,71.75,72.42,72.94,73.42,73.89,74.31,74.81,75.12,76.16,77.03,77.95,79.03,79.2,79.46,79.77,80.36,81.11,81.78,82.24,82.28,83.92,84.75,85.6,85.91,87.23,88.18,87.36,89,91.05,92.8,94.65,97.52,99.89,104.16,98.83,94.58,96.61,100.26,100.41,99.85,100.3,100.06,99.79,100.48,104.57,106.17,106.05,106.12,106.3,104.56,102.91,102.53,102.61,102.66,102.13,102.1,102.64,103.12,103.79,103.13,103.64,103.75,103.09,102.11,102.24,102.64,102.76,101.34,101.47,101.04,101.68,103.5,104.74,105.99,106.02,106.98,109.59,110.27,111.3,,,,,,,,,,,,,,,,
Australia,Australia and New Zealand,8.92,9.01,9.1,9.29,9.38,9.47,9.75,9.94,10.03,10.12,10.31,10.4,10.59,10.96,11.33,11.7,12.07,12.54,13.19,13.65,14.21,14.67,14.77,15.6,16.07,16.44,16.81,17.83,18.2,18.67,19.04,19.5,19.78,20.15,20.52,20.99,21.36,21.92,22.48,23.13,23.59,24.33,24.7,25.26,25.82,26.38,26.93,28.05,28.6,29.25,30.28,31.21,31.86,32.51,33.06,33.9,33.71,33.81,34.27,34.73,35.2,36.03,36.87,37.61,38.45,39.1,40.12,41.24,42.07,42.72,43.46,44.21,44.95,45.79,46.62,47.55,48.01,49.22,50.34,51.27,52.19,53.03,53.4,54.79,54.7,54.79,55.07,55.63,55.63,55.44,55.54,55.82,56.28,56.47,56.74,56.84,57.12,57.49,57.86,58.32,59.25,60.09,60.83,61.3,61.48,61.95,62.13,62.22,62.32,62.13,61.85,62.04,62.22,62.6,62.69,62.97,62.97,63.25,63.8,64.17,64.73,65.2,67.7,67.89,68.63,69.19,69.38,70.03,70.68,71.14,71.6,72.07,73,73,73.46,73.83,74.48,74.85,75.13,75.69,76.25,76.71,77.46,77.83,78.48,79.78,80.52,80.43,80.43,81.45,82.01,82.75,83.86,85.07,86.09,85.81,85.91,86.28,87.11,87.58,88.41,88.97,89.62,89.99,91.29,92.13,92.69,92.69,92.78,93.24,94.54,94.73,95.1,95.47,96.59,97.33,97.89,98.35,98.82,99,99.19,99.84,100.3,100.67,100.49,100.86,101.6,102.16,102.62,102.81,103.46,104.11,104.57,104.95,105.41,105.97,105.97,106.62,107.17,107.92,108.29,106.25,107.92,108.85,109.5,110.33,111.17,112.65,115.07,117.11,119.25,121.48,123.15,124.17,125.66,126.4
Austria,Western Europe,22.48,22.69,23.02,23.23,23.45,23.69,24.17,24.41,24.8,25.12,25.68,26.21,26.76,27.07,27.44,28.2,29.03,29.74,30.19,30.94,31.75,32.27,32.86,33.15,34.12,34.71,35.18,35.53,36.28,36.69,37.09,37.15,37.69,38.02,38.32,38.44,39.03,39.25,39.72,40.13,41.1,41.78,42.48,42.78,43.96,44.62,45.28,45.71,46.61,47.27,47.62,47.84,48.43,48.52,49.09,49.62,51.19,51.45,51.9,52.19,52.96,53.31,53.45,53.61,54.24,54.1,54.32,54.32,54.39,54.83,55.55,55.23,55.55,55.79,56.62,56.26,56.82,57.24,58.09,57.83,58.56,58.97,60,59.95,60.54,61.02,62.1,61.75,62.98,63.51,64.52,64.27,65.43,65.86,66.75,66.52,67.45,67.79,68.77,68.35,69.11,69.51,70.21,69.64,70.29,70.62,71.56,71.19,71.63,71.81,71.83,72.1,72.38,72.55,72.47,72.62,72.72,72.81,72.8,73.33,73.87,74.35,74.89,75.4,75.92,76.64,76.84,77.01,77.41,78.01,78.16,78.38,78.78,78.93,79.15,79.33,79.85,80.5,80.87,81.49,82.17,82.5,82.66,82.8,83.1,83.84,83.95,83.98,84.48,85.44,85.58,86.65,87.28,88.52,88.77,88.58,88.25,88.77,88.8,89.13,89.48,90.5,90.39,91,92.06,93.5,93.59,94.1,94.43,95.58,95.79,96.72,96.78,97.63,97.54,98.23,98.32,99.34,99.16,99.62,99.16,100.36,100.09,100.39,100.12,100.92,100.79,101.72,102.16,102.89,102.96,103.96,103.99,104.89,105.16,106.16,105.79,106.66,106.62,107.56,107.77,107.77,108.13,108.85,109.21,110.47,111.52,113.29,115.59,119.16,122.44,125.29,127.63,129.69,130.77,132.1
Azerbaijan,Western Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.24,0.26,0.33,0.02,0.03,0.04,0.07,0.18,0.29,0.45,0.97,2.44,5.01,7.51,18.34,37.14,42.45,43.55,47.25,51.06,50.87,50.54,51.66,53.53,53.81,51.68,52.61,53.33,53.43,52.5,50.73,48.23,48.08,47.58,48.2,49.06,48.96,48.41,49.14,49.82,49.87,49.15,49.75,50.63,51.31,50.72,51.44,51.98,52.12,51.6,52.94,54.9,55.41,54.27,58.07,61,61.87,59.91,61.3,64.34,65.89,65.92,68.27,75.03,76.03,76.47,81.03,87.47,94.13,95,96.3,94.77,93.6,94.13,95.83,98.37,99.3,99.47,102.87,107.27,107.87,107.07,109.23,110.6,109.23,107.07,109.13,111.83,112.3,110.27,112.17,114.07,113.53,111.83,113.27,117.33,118.4,116.43,118.77,130,130.47,131.1,137.97,147.13,149.47,149.27,152.17,153,152.6,152,154,156.26,157.09,156.3,157.92,160.9,161.72,160.51,161.75,167.09,169.25,171.83,179.6,187.42,192.32,196.74,206.57,213.22,214.71,211.4,212.51
Bahamas,Latin America and the Caribbean,17.48,17.63,17.94,18.15,18.3,18.49,18.58,19.1,19.75,19.94,19.82,20.05,20.23,20.62,21.18,21.89,22.69,23.33,23.94,24.93,25.65,26.09,26.32,26.66,26.95,27.18,27.49,27.56,27.64,28.01,28.33,28.67,29.07,29.57,30.28,30.62,31.25,32.04,33.09,34.03,34.91,35.84,37.2,38.24,39.22,40.4,41.11,41.7,42.22,42.79,43.45,43.74,44.29,44.72,44.99,45.22,45.87,46.52,46.55,47.32,47.89,48.54,48.88,49.45,50.14,50.96,51.55,52.7,53.56,54.01,54.49,55.1,55.68,56,57.13,57.92,58.98,59.48,59.98,60.5,61.38,61.71,62.57,64.45,65.54,66.42,66.96,68.97,70.06,70.84,70.98,71.39,71.52,72.99,73.2,73.28,73.4,73.54,73.71,74.41,74.91,75.21,75.49,75.54,76.07,76.35,76.47,76.42,76.47,76.72,76.77,77,77.2,77.66,77.81,78.41,78.33,78.44,78.66,79.54,79.82,79.97,80.02,80.22,80.88,81.58,81.71,82.41,82.87,82.97,83.65,84.2,85.48,85.86,86.14,86.29,86.44,86.59,87,87.12,87.44,88.04,88.44,88.75,88.93,90.19,90.87,91.1,91.66,92.18,92.75,93.52,93.99,96.48,98.02,98.23,97.95,98.38,98.97,99.4,99.38,99.8,100.03,100.8,101.86,103.18,103.75,104.01,104.41,105.6,105.63,105.3,105.41,106.18,106.08,106.31,107.6,107.79,107.75,107.27,109.57,109.63,110.07,109.15,108.34,109.15,109.59,109.81,110.72,110.62,110.73,111.46,111.83,112.46,114.88,114.41,115.68,116.28,116.83,116.09,116.59,115.76,115.95,116.75,117.99,118.78,120.33,121.46,122.85,125.47,128.33,128.74,128.4,129.93,131.22,
Bahrain,Western Asia,19.92,19.73,20.31,20.27,21.25,20.77,21.36,21.5,23.03,21.71,21.92,22.53,24.01,24.2,25.28,28.48,30.17,30.19,33.55,32.93,34.68,36.58,37.85,39.24,42.25,44.03,46.06,48.15,50.71,51.19,53.13,57.47,60.12,60.08,62.23,63.6,63.94,62.66,61.93,62.93,63.36,65.28,65.61,66.95,69.99,70.03,75.23,75.57,78.95,78.82,79.09,79.8,81.4,81.16,80.86,82.66,83.54,82.96,80.58,80.04,80.58,79.27,79.84,78.81,78.67,78.43,77.12,76.98,76.95,77.06,75.89,75.86,76.43,77.2,76.54,76.52,77.85,77.69,77.5,78.21,78.92,78.18,78.29,78.75,79.6,79.76,78.56,78.62,79.63,78.81,78.64,78.92,80.69,81.18,81.26,80.88,81.4,81.02,81.89,82.35,83.93,83.89,83.86,83.81,83.04,83.86,83.53,83.56,84.5,86.38,85.84,85.38,85.62,85.57,85.35,84.8,84.37,84.04,84.2,83.85,83.82,83.74,83.36,83.17,83.17,83.17,83.55,,,,,,,,,,,84.23,87.26,87.91,87.17,87.75,88.13,87.28,88.56,89.63,89.71,89.46,91.22,91.66,92.83,93.3,93.72,94.76,95.95,97.58,98,97.71,98.05,98.93,99.76,100,100.01,100.23,99.79,98.17,99.42,101.02,101.42,101.84,103.05,103.08,104.45,105.14,106.3,107,107.64,107.63,109.24,109.58,110.1,109.92,110.86,111.23,113.23,113.84,114.02,113.35,113.99,114.88,115.99,115.88,117.18,118,118.1,117.07,118.56,118.65,118.92,118.95,117.9,114.85,115.84,115.48,114.85,114.89,115.64,115.88,118.73,118.77,120.24,120.24,119.45,118.77,120.16,
